date,precipitation,temp_max,temp_min,wind,weather
4/2/2001,0,12.8,5,4.7,drizzle
4/3/2001,10.9,10.6,2.8,4.5,rain
4/4/2001,0.8,11.7,7.2,2.3,rain
4/5/2001,20.3,12.2,5.6,4.7,rain
4/6/2001,1.3,8.9,2.8,6.1,rain
4/7/2001,2.5,4.4,2.2,2.2,rain
4/8/2001,0,7.2,2.8,2.3,rain
4/9/2001,0,10,2.8,2,sun
4/10/2001,4.3,9.4,5,3.4,rain
4/11/2001,1,6.1,0.6,3.4,rain
4/12/2001,0,6.1,-1.1,5.1,sun
4/13/2001,0,6.1,-1.7,1.9,sun
4/14/2001,0,5,-2.8,1.3,sun
4/15/2001,4.1,4.4,0.6,5.3,snow
4/16/2001,5.3,1.1,-3.3,3.2,snow
4/17/2001,2.5,1.7,-2.8,5,snow
4/18/2001,8.1,3.3,0,5.6,snow
4/19/2001,19.8,0,-2.8,5,snow
4/20/2001,15.2,-1.1,-2.8,1.6,snow
4/21/2001,13.5,7.2,-1.1,2.3,snow
4/22/2001,3,8.3,3.3,8.2,rain
4/23/2001,6.1,6.7,2.2,4.8,rain
4/24/2001,0,8.3,1.1,3.6,rain
4/25/2001,8.6,10,2.2,5.1,rain
4/26/2001,8.1,8.9,4.4,5.4,rain
4/27/2001,4.8,8.9,1.1,4.8,rain
4/28/2001,0,6.7,-2.2,1.4,drizzle
4/29/2001,0,6.7,0.6,2.2,rain
4/30/2001,27.7,9.4,3.9,4.5,rain
5/1/2001,3.6,8.3,6.1,5.1,rain
5/2/2001,1.8,9.4,6.1,3.9,rain
5/3/2001,13.5,8.9,3.3,2.7,rain
5/4/2001,0,8.3,1.7,2.6,sun
5/5/2001,0,14.4,2.2,5.3,sun
5/6/2001,0,15.6,5,4.3,sun
5/7/2001,0,13.9,1.7,2.9,sun
5/8/2001,0,16.1,1.7,5,sun
5/9/2001,0.3,15.6,7.8,5.3,rain
5/10/2001,2.8,10,5,2.7,rain
5/11/2001,2.5,11.1,7.8,2.4,rain
5/12/2001,2.5,12.8,6.7,3,rain
5/13/2001,0.8,8.9,5.6,3.4,rain
5/14/2001,1,8.3,5,1.3,rain
5/15/2001,11.4,7.2,4.4,1.4,rain
